time,open,high,low,close,tick_volume,spread,real_volume
2011-01-03 00:00:00+00:00,1418.65,1423.8,1412.8,1413.85,17713,50,0
2011-01-04 00:00:00+00:00,1415.2,1417.1,1374.65,1381.15,26224,0,0
2011-01-05 00:00:00+00:00,1381.6,1384.7,1363.85,1378.45,26788,50,0
2011-01-06 00:00:00+00:00,1377.35,1379.75,1364.55,1370.9,25530,50,0
2011-01-07 00:00:00+00:00,1371.3,1378.75,1352.7,1369.0,28870,0,0
2011-01-10 00:00:00+00:00,1370.1,1375.9,1365.4,1375.4,22041,50,0
2011-01-11 00:00:00+00:00,1374.4,1386.65,1372.65,1381.05,23375,50,0
2011-01-12 00:00:00+00:00,1381.3,1388.75,1376.55,1387.9,22809,50,0
2011-01-13 00:00:00+00:00,1386.0,1393.0,1369.45,1373.3,24234,50,0
2011-01-14 00:00:00+00:00,1372.75,1377.9,1354.9,1361.75,26905,0,0
2011-01-17 00:00:00+00:00,1361.45,1365.6,1357.1,1361.0,12692,50,0
2011-01-18 00:00:00+00:00,1361.0,1376.15,1360.2,1367.55,22074,50,0
2011-01-19 00:00:00+00:00,1366.75,1379.05,1365.6,1369.55,22732,50,0
2011-01-20 00:00:00+00:00,1367.75,1371.1,1343.15,1346.0,19793,50,0
2011-01-21 00:00:00+00:00,1347.15,1350.1,1337.65,1342.45,24676,50,0
2011-01-24 00:00:00+00:00,1349.2,1350.4,1332.4,1333.8,15250,50,0
2011-01-25 00:00:00+00:00,1335.15,1338.4,1322.55,1331.9,28019,30,0
2011-01-26 00:00:00+00:00,1332.4,1346.6,1324.9,1345.85,26411,0,0
2011-01-27 00:00:00+00:00,1343.8,1347.75,1310.2,1314.45,29804,50,0
2011-01-28 00:00:00+00:00,1314.3,1346.85,1308.15,1336.4,34770,50,0
2011-01-31 00:00:00+00:00,1339.85,1345.5,1322.95,1332.2,31759,50,0
2011-02-01 00:00:00+00:00,1332.2,1342.85,1325.35,1341.75,22420,50,0
2011-02-02 00:00:00+00:00,1341.9,1342.85,1326.55,1334.75,24121,50,0
2011-02-03 00:00:00+00:00,1335.1,1355.9,1324.75,1354.7,19602,0,0
2011-02-04 00:00:00+00:00,1351.55,1358.25,1345.0,1348.6,22421,50,0
2011-02-07 00:00:00+00:00,1343.9,1353.25,1343.3,1351.75,19417,50,0
2011-02-08 00:00:00+00:00,1351.25,1368.0,1348.35,1363.8,15706,50,0
2011-02-09 00:00:00+00:00,1362.85,1366.9,1357.85,1363.5,20281,50,0
2011-02-10 00:00:00+00:00,1363.2,1366.05,1350.95,1363.1,20599,0,0
2011-02-11 00:00:00+00:00,1363.0,1368.4,1354.0,1356.6,21898,50,0
2011-02-14 00:00:00+00:00,1357.3,1366.7,1353.95,1361.6,17967,50,0
2011-02-15 00:00:00+00:00,1361.4,1376.55,1360.7,1373.25,18494,50,0
2011-02-16 00:00:00+00:00,1372.9,1381.95,1367.9,1374.5,21528,50,0
2011-02-17 00:00:00+00:00,1375.15,1384.8,1374.15,1384.0,15500,50,0
2011-02-18 00:00:00+00:00,1383.95,1391.8,1381.55,1389.9,20086,50,0
2011-02-21 00:00:00+00:00,1390.3,1408.15,1389.7,1406.1,14768,50,0
2011-02-22 00:00:00+00:00,1408.2,1410.7,1392.7,1398.1,25396,50,0
2011-02-23 00:00:00+00:00,1399.45,1416.5,1395.55,1411.8,21240,0,0
2011-02-24 00:00:00+00:00,1411.0,1418.15,1391.65,1402.1,27827,50,0
2011-02-25 00:00:00+00:00,1402.25,1411.65,1399.6,1410.3,20799,0,0
2011-02-28 00:00:00+00:00,1407.75,1416.35,1404.7,1411.85,22543,50,0
2011-03-01 00:00:00+00:00,1411.1,1434.8,1409.35,1433.2,22685,0,0
2011-03-02 00:00:00+00:00,1432.65,1440.15,1427.65,1434.45,22795,50,0
2011-03-03 00:00:00+00:00,1435.05,1436.15,1410.15,1415.55,23339,50,0
2011-03-04 00:00:00+00:00,1416.2,1432.05,1413.05,1430.55,17371,50,0
2011-03-07 00:00:00+00:00,1433.9,1444.55,1427.9,1431.4,28276,50,0
2011-03-08 00:00:00+00:00,1431.05,1436.75,1423.1,1429.15,23336,0,0
2011-03-09 00:00:00+00:00,1428.05,1436.3,1423.0,1431.3,18699,50,0
2011-03-10 00:00:00+00:00,1431.3,1431.3,1402.9,1411.45,27058,0,0
2011-03-11 00:00:00+00:00,1410.65,1423.85,1404.7,1417.5,26057,45,0
2011-03-14 00:00:00+00:00,1429.95,1430.5,1418.35,1425.95,22144,50,0
2011-03-15 00:00:00+00:00,1426.0,1427.45,1380.7,1394.85,35291,50,0
2011-03-16 00:00:00+00:00,1393.0,1406.0,1391.6,1394.5,19899,50,0
2011-03-17 00:00:00+00:00,1392.25,1405.05,1386.3,1403.25,24041,35,0
2011-03-18 00:00:00+00:00,1405.15,1423.9,1404.85,1419.25,16831,50,0
2011-03-21 00:00:00+00:00,1425.25,1434.65,1423.6,1426.15,17866,50,0
2011-03-22 00:00:00+00:00,1426.65,1432.0,1419.45,1428.1,17814,0,0
2011-03-23 00:00:00+00:00,1427.45,1440.9,1425.65,1436.4,17557,0,0
2011-03-24 00:00:00+00:00,1437.9,1447.55,1423.65,1431.5,22038,0,0
2011-03-25 00:00:00+00:00,1431.4,1437.75,1422.05,1429.2,15111,50,0
2011-03-28 00:00:00+00:00,1424.65,1428.05,1409.9,1420.5,18811,50,0
