time,open,high,low,close,tick_volume,spread,real_volume
2008-01-01 00:00:00+00:00,111.69,111.91,104.97,106.39,324439,30,0
2008-02-01 00:00:00+00:00,106.39,108.59,103.67,103.71,230992,30,0
2008-03-01 00:00:00+00:00,103.28,104.17,95.77,99.9,356467,30,0
2008-04-01 00:00:00+00:00,99.89,104.88,99.59,103.93,380656,30,0
2008-05-01 00:00:00+00:00,103.92,105.87,102.58,105.5,324388,30,0
2008-06-01 00:00:00+00:00,105.28,108.58,103.87,106.08,324371,30,0
2008-07-01 00:00:00+00:00,106.07,108.37,103.76,107.83,294196,30,0
2008-08-01 00:00:00+00:00,107.88,110.66,107.28,108.79,246605,30,0
2008-09-01 00:00:00+00:00,108.33,109.18,103.49,105.99,507597,30,0
2008-10-01 00:00:00+00:00,105.99,106.53,90.92,98.46,798276,30,0
2008-11-01 00:00:00+00:00,98.23,100.54,93.55,95.52,619017,30,0
2008-12-01 00:00:00+00:00,95.54,95.55,87.13,90.86,280801,30,0
2009-01-01 00:00:00+00:00,91.17,94.61,87.12,89.9,330298,30,0
2009-02-01 00:00:00+00:00,89.68,98.7,88.58,97.565,535799,30,0
2009-03-01 00:00:00+00:00,97.647,99.667,93.533,98.881,846218,30,0
2009-04-01 00:00:00+00:00,98.887,101.43,95.614,98.544,798646,30,0
2009-05-01 00:00:00+00:00,98.558,99.717,93.85,95.3,984382,30,0
2009-06-01 00:00:00+00:00,95.28,98.87,94.44,96.303,1024593,30,0
2009-07-01 00:00:00+00:00,96.301,96.967,91.74,94.67,355835,30,0
2009-08-01 00:00:00+00:00,94.93,97.79,92.55,92.98,211325,30,0
2009-09-01 00:00:00+00:00,92.97,93.41,88.24,89.71,420477,30,0
2009-10-01 00:00:00+00:00,89.72,92.32,88.0,90.081,221079,30,0
2009-11-01 00:00:00+00:00,89.663,91.263,84.819,86.327,966511,10,0
2009-12-01 00:00:00+00:00,86.322,93.129,86.156,93.129,861103,10,0
2010-01-01 00:00:00+00:00,92.918,93.748,89.132,90.255,888938,10,0
2010-02-01 00:00:00+00:00,90.205,92.141,88.572,88.956,808553,10,0
2010-03-01 00:00:00+00:00,88.931,93.626,88.136,93.443,732567,9,0
2010-04-01 00:00:00+00:00,93.433,94.683,91.595,93.838,776161,9,0
2010-05-01 00:00:00+00:00,93.932,94.978,88.254,91.161,1108332,9,0
2010-06-01 00:00:00+00:00,91.151,92.877,88.279,88.4,996922,6,1629910000
2010-07-01 00:00:00+00:00,88.399,89.145,85.98,86.458,839902,6,85094601000
2010-08-01 00:00:00+00:00,86.41,86.871,83.619,84.169,698836,9,0
2010-09-01 00:00:00+00:00,84.17,85.922,82.869,83.489,664701,9,0
2010-10-01 00:00:00+00:00,83.491,83.972,80.376,80.389,721761,9,0
2010-11-01 00:00:00+00:00,80.357,84.398,80.295,83.659,1201006,9,0
2010-12-01 00:00:00+00:00,83.659,84.494,80.934,81.126,1302732,4,0
2011-01-01 00:00:00+00:00,81.106,83.674,81.071,82.055,1257677,4,0
2011-02-01 00:00:00+00:00,82.054,83.964,81.129,81.764,1096836,9,0
2011-03-01 00:00:00+00:00,81.761,83.287,76.404,83.171,1520390,9,0
2011-04-01 00:00:00+00:00,83.171,85.514,81.032,81.181,1123369,6,9620929000
2011-05-01 00:00:00+00:00,81.099,82.229,79.582,81.499,975107,6,0
2011-06-01 00:00:00+00:00,81.493,81.494,79.694,80.558,1112704,9,0
2011-07-01 00:00:00+00:00,80.558,81.467,76.722,76.768,903581,6,27686970000
2011-08-01 00:00:00+00:00,77.391,80.228,75.957,76.732,1381276,6,249960685043
2011-09-01 00:00:00+00:00,76.731,77.849,76.094,76.989,1211968,9,0
2011-10-01 00:00:00+00:00,77.095,79.523,75.57,78.172,1088147,9,0
2011-11-01 00:00:00+00:00,78.107,78.963,76.561,77.575,1028374,7,0
2011-12-01 00:00:00+00:00,77.576,78.211,76.856,76.885,771008,3,0
2012-01-01 00:00:00+00:00,77.09,78.277,76.151,76.293,836216,4,0
2012-02-01 00:00:00+00:00,76.292,81.575,76.018,81.276,1029588,4,0
2012-03-01 00:00:00+00:00,81.277,84.167,80.578,82.848,1231393,5,0
2012-04-01 00:00:00+00:00,82.954,83.292,79.731,79.821,1116896,5,0
2012-05-01 00:00:00+00:00,79.822,80.607,78.206,78.364,1161648,5,0
2012-06-01 00:00:00+00:00,78.365,80.615,77.657,79.785,1300045,5,0
2012-07-01 00:00:00+00:00,79.905,80.09,77.944,78.112,1019557,5,0
2012-08-01 00:00:00+00:00,78.114,79.65,77.917,78.377,947462,4,0
2012-09-01 00:00:00+00:00,78.326,79.209,77.135,77.942,890174,4,0
2012-10-01 00:00:00+00:00,77.96,80.371,77.78,79.81,796023,4,0
2012-11-01 00:00:00+00:00,79.809,82.831,79.07,82.467,1578682,4,0
2012-12-01 00:00:00+00:00,82.4,86.68,81.711,86.61,1444868,4,0
2013-01-01 00:00:00+00:00,86.658,91.797,86.535,91.733,2271470,5,0
2013-02-01 00:00:00+00:00,91.732,94.431,90.929,92.623,2180886,1,0
2013-03-01 00:00:00+00:00,92.622,96.707,92.438,94.15,907782,1,0
2013-04-01 00:00:00+00:00,94.252,99.944,92.568,97.381,1156481,1,0
2013-05-01 00:00:00+00:00,97.383,103.733,97.022,100.433,1205078,1,0
2013-06-01 00:00:00+00:00,100.544,100.721,93.788,99.121,1584572,1,0
2013-07-01 00:00:00+00:00,99.212,101.531,97.584,97.803,1213050,1,0
2013-08-01 00:00:00+00:00,97.808,99.948,95.809,98.116,1117212,1,0
2013-09-01 00:00:00+00:00,98.321,100.608,97.499,98.24,847752,1,0
2013-10-01 00:00:00+00:00,98.245,99.003,96.567,98.353,838278,1,0
2013-11-01 00:00:00+00:00,98.354,102.612,97.633,102.405,657312,1,0
2013-12-01 00:00:00+00:00,102.499,105.412,101.624,105.252,679014,1,0
2014-01-01 00:00:00+00:00,105.237,105.44,101.842,101.932,856585,1,0
2014-02-01 00:00:00+00:00,102.142,102.827,100.755,101.779,726887,1,0
2014-03-01 00:00:00+00:00,101.48,103.759,101.199,103.224,1078910,1,0
2014-04-01 00:00:00+00:00,103.224,104.127,101.324,102.217,885875,1,0
2014-05-01 00:00:00+00:00,102.222,103.018,100.821,101.746,722223,1,0
2014-06-01 00:00:00+00:00,101.811,102.794,101.233,101.299,679554,1,0
2014-07-01 00:00:00+00:00,101.301,103.079,101.065,102.798,855942,1,0
2014-08-01 00:00:00+00:00,102.8,104.268,101.505,104.084,740492,1,0
2014-09-01 00:00:00+00:00,104.144,109.849,104.096,109.606,1128940,1,0
2014-10-01 00:00:00+00:00,109.61,112.469,105.197,112.315,1667361,1,0
2014-11-01 00:00:00+00:00,112.939,118.974,112.567,118.584,1668425,1,23056830000
2014-12-01 00:00:00+00:00,118.741,121.843,115.564,119.836,1819592,1,2274858445000
2015-01-01 00:00:00+00:00,120.401,120.741,115.85,117.47,2422508,1,2946014040000
2015-02-01 00:00:00+00:00,116.93,120.471,116.872,119.622,1326898,1,0
2015-03-01 00:00:00+00:00,119.698,122.021,118.324,120.113,1452570,1,0
2015-04-01 00:00:00+00:00,120.092,120.841,118.492,119.395,1434544,2,0
2015-05-01 00:00:00+00:00,119.386,124.448,118.886,124.112,1295214,2,0
2015-06-01 00:00:00+00:00,124.096,125.853,121.935,122.487,2466500,2,0
2015-07-01 00:00:00+00:00,122.483,124.577,120.408,123.85,2794971,3,1245649252000
2015-08-01 00:00:00+00:00,123.866,125.276,116.131,121.215,3071131,3,3555112752000
2015-09-01 00:00:00+00:00,121.191,121.326,118.591,119.872,3837339,4,4666331211000
