time,price,type
2024-11-20 10:45:00,155.58,low
2024-11-20 11:31:00,155.852,high
2024-11-20 11:50:00,155.651,low
2024-11-20 12:50:00,155.847,high
2024-11-20 12:57:00,155.722,low
2024-11-20 13:23:00,155.852,high
2024-11-20 13:40:00,155.712,low
2024-11-20 14:01:00,155.888,high
2024-11-20 15:02:00,155.631,low
2024-11-20 15:31:00,155.789,high
2024-11-20 15:43:00,155.636,low
2024-11-20 16:20:00,155.84,high
2024-11-20 16:21:00,155.389,low
2024-11-20 16:52:00,155.75,high
2024-11-20 17:21:00,155.057,low
2024-11-20 18:01:00,155.614,high
2024-11-20 18:32:00,155.233,low
2024-11-20 19:05:00,155.442,high
2024-11-20 19:22:00,155.182,low
2024-11-20 20:21:00,155.443,high
2024-11-20 21:15:00,155.242,low
2024-11-20 23:02:00,155.538,high
2024-11-21 01:47:00,155.235,low
2024-11-21 01:56:00,155.326,high
2024-11-21 02:38:00,154.925,low
2024-11-21 02:54:00,155.141,high
2024-11-21 03:23:00,154.88,low
2024-11-21 03:39:00,155.079,high
2024-11-21 04:06:00,154.877,low
2024-11-21 04:25:00,155.088,high
2024-11-21 05:00:00,154.892,low
2024-11-21 05:10:00,155.034,high
2024-11-21 06:02:00,154.861,low
2024-11-21 07:12:00,155.164,high
2024-11-21 07:32:00,155.074,low
2024-11-21 07:48:00,155.265,high
2024-11-21 08:16:00,154.557,low
2024-11-21 08:31:00,154.866,high
2024-11-21 08:44:00,154.642,low
2024-11-21 09:14:00,155.045,high
2024-11-21 09:28:00,154.608,low
2024-11-21 10:02:00,155.038,high
2024-11-21 11:21:00,154.085,low
2024-11-21 11:59:00,154.434,high
2024-11-21 12:41:00,154.203,low
2024-11-21 14:15:00,154.716,high
2024-11-21 14:52:00,154.298,low
2024-11-21 15:30:00,154.686,high
2024-11-21 15:42:00,154.104,low
2024-11-21 16:17:00,154.545,high
2024-11-21 16:42:00,153.961,low
2024-11-21 16:55:00,154.18,high
2024-11-21 17:09:00,153.906,low
2024-11-21 19:00:00,154.679,high
2024-11-21 19:12:00,154.541,low
2024-11-21 19:18:00,154.694,high
2024-11-21 19:56:00,154.405,low
2024-11-21 20:40:00,154.7,high
2024-11-21 21:00:00,154.536,low
2024-11-21 21:23:00,154.65,high
2024-11-21 22:05:00,154.453,low
2024-11-21 22:27:00,154.584,high
2024-11-21 22:35:00,154.487,low
2024-11-21 22:48:00,154.593,high
2024-11-21 23:02:00,154.45,low
2024-11-21 23:15:00,154.569,high
2024-11-22 01:08:00,154.294,low
2024-11-22 01:29:00,154.425,high
2024-11-22 02:12:00,153.968,low
2024-11-22 02:54:00,154.417,high
2024-11-22 03:12:00,154.223,low
