,time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,SML_SMA,detection_time,pivot_time,pivot_value,pivot_type,sml_detection_time,sml_pivot_time,sml_pivot_value,sml_pivot_type
0,2025-02-17 00:00:00+00:00,152.439,152.439,152.438,152.438,2.0,200.0,0.0,,,,,,,,,,
1,2025-02-17 00:01:00+00:00,152.438,152.438,152.169,152.283,4.0,200.0,0.0,,,,,,,,,,
2,2025-02-17 00:02:00+00:00,152.283,152.283,152.276,152.276,3.0,200.0,0.0,,,,,,,,,,
3,2025-02-17 00:03:00+00:00,152.276,152.276,152.204,152.263,3.0,200.0,0.0,,152.315,,,,,,,,
4,2025-02-17 00:04:00+00:00,152.263,152.263,152.261,152.263,3.0,200.0,0.0,,152.27125,,,,,,,,
5,2025-02-17 00:05:00+00:00,152.263,152.263,152.197,152.197,4.0,75.0,0.0,,152.24975,,,,,,,,
6,2025-02-17 00:06:00+00:00,152.197,152.2,152.197,152.2,2.0,75.0,0.0,,152.23075,,,,,,,,
7,2025-02-17 00:07:00+00:00,152.2,152.2,152.2,152.2,1.0,75.0,0.0,,152.215,,,,,,,,
8,2025-02-17 00:08:00+00:00,152.2,152.209,152.2,152.204,16.0,75.0,0.0,,152.20024999999998,,,,,,,,
9,2025-02-17 00:09:00+00:00,152.204,152.204,152.203,152.204,3.0,78.0,0.0,,152.202,,,,,,,,
10,2025-02-17 00:10:00+00:00,152.204,152.229,152.196,152.196,15.0,75.0,0.0,,152.201,,,,,2025-02-17 00:11:00+00:00,2025-02-17 00:08:00+00:00,152.2,0.0
11,2025-02-17 00:11:00+00:00,152.196,152.26,152.196,152.246,19.0,75.0,0.0,,152.2125,,,,,2025-02-17 00:11:00+00:00,2025-02-17 00:08:00+00:00,152.2,0.0
12,2025-02-17 00:12:00+00:00,152.246,152.246,152.21,152.216,14.0,75.0,0.0,,152.2155,,,,,2025-02-17 00:11:00+00:00,2025-02-17 00:08:00+00:00,152.2,0.0
13,2025-02-17 00:13:00+00:00,152.216,152.218,152.216,152.218,5.0,75.0,0.0,,152.219,,,,,,,,
14,2025-02-17 00:14:00+00:00,152.218,152.218,152.218,152.218,1.0,75.0,0.0,,152.22449999999998,,,,,2025-02-17 00:15:00+00:00,2025-02-17 00:11:00+00:00,152.26,1.0
15,2025-02-17 00:15:00+00:00,152.218,152.218,152.217,152.217,4.0,75.0,0.0,,152.21724999999998,,,,,2025-02-17 00:15:00+00:00,2025-02-17 00:11:00+00:00,152.26,1.0
16,2025-02-17 00:16:00+00:00,152.217,152.217,152.217,152.217,1.0,75.0,0.0,,152.2175,,,,,2025-02-17 00:15:00+00:00,2025-02-17 00:11:00+00:00,152.26,1.0
17,2025-02-17 00:17:00+00:00,152.217,152.217,152.214,152.214,4.0,75.0,0.0,,152.2165,,,,,2025-02-17 00:18:00+00:00,2025-02-17 00:17:00+00:00,152.214,0.0
18,2025-02-17 00:18:00+00:00,152.214,152.231,152.214,152.23,7.0,75.0,0.0,,152.2195,,,,,2025-02-17 00:18:00+00:00,2025-02-17 00:17:00+00:00,152.214,0.0
19,2025-02-17 00:19:00+00:00,152.23,152.231,152.213,152.23,15.0,75.0,0.0,152.23650000000004,152.22275000000002,,,,,2025-02-17 00:18:00+00:00,2025-02-17 00:17:00+00:00,152.214,0.0
20,2025-02-17 00:20:00+00:00,152.23,152.23,152.212,152.224,5.0,75.0,0.0,152.22580000000002,152.22449999999998,,,,,,,,
21,2025-02-17 00:21:00+00:00,152.224,152.224,152.223,152.223,2.0,75.0,0.0,152.2228,152.22674999999998,,,,,,,,
22,2025-02-17 00:22:00+00:00,152.223,152.223,152.222,152.222,2.0,75.0,0.0,152.2201,152.22475,,,,,2025-02-17 00:23:00+00:00,2025-02-17 00:18:00+00:00,152.231,1.0
23,2025-02-17 00:23:00+00:00,152.222,152.222,152.221,152.221,2.0,75.0,0.0,152.21800000000002,152.2225,,,,,2025-02-17 00:23:00+00:00,2025-02-17 00:18:00+00:00,152.231,1.0
24,2025-02-17 00:24:00+00:00,152.221,152.227,152.221,152.227,2.0,75.0,0.0,152.2162,152.22325,,,,,2025-02-17 00:23:00+00:00,2025-02-17 00:18:00+00:00,152.231,1.0
25,2025-02-17 00:25:00+00:00,152.227,152.238,152.221,152.238,8.0,75.0,0.0,152.21824999999998,152.22699999999998,,,,,2025-02-17 00:25:00+00:00,2025-02-17 00:23:00+00:00,152.221,0.0
26,2025-02-17 00:26:00+00:00,152.238,152.239,152.225,152.225,5.0,75.0,0.0,152.2195,152.22775,,,,,2025-02-17 00:25:00+00:00,2025-02-17 00:23:00+00:00,152.221,0.0
27,2025-02-17 00:27:00+00:00,152.225,152.225,152.224,152.224,2.0,75.0,0.0,152.2207,152.2285,,,,,,,,
28,2025-02-17 00:28:00+00:00,152.224,152.225,152.224,152.224,3.0,75.0,0.0,152.2217,152.22775,,,,,2025-02-17 00:29:00+00:00,2025-02-17 00:26:00+00:00,152.239,1.0
29,2025-02-17 00:29:00+00:00,152.224,152.224,152.224,152.224,1.0,75.0,0.0,152.2227,152.22424999999998,,,,,2025-02-17 00:29:00+00:00,2025-02-17 00:26:00+00:00,152.239,1.0
30,2025-02-17 00:30:00+00:00,152.224,152.224,152.223,152.223,2.0,75.0,0.0,152.22405,152.22375,,,,,2025-02-17 00:29:00+00:00,2025-02-17 00:26:00+00:00,152.239,1.0
31,2025-02-17 00:31:00+00:00,152.223,152.225,152.223,152.223,4.0,75.0,0.0,152.2229,152.2235,,,,,,,,
32,2025-02-17 00:32:00+00:00,152.223,152.223,152.217,152.217,2.0,75.0,0.0,152.22295000000003,152.22175000000001,,,,,,,,
33,2025-02-17 00:33:00+00:00,152.217,152.217,152.215,152.216,4.0,75.0,0.0,152.22285000000002,152.21975,,,,,,,,
34,2025-02-17 00:34:00+00:00,152.216,152.216,152.216,152.216,1.0,75.0,0.0,152.22275000000002,152.21800000000002,,,,,,,,
35,2025-02-17 00:35:00+00:00,152.216,152.217,152.216,152.217,2.0,75.0,0.0,152.22275000000005,152.2165,,,,,,,,
36,2025-02-17 00:36:00+00:00,152.217,152.217,152.217,152.217,1.0,75.0,0.0,152.22275000000002,152.2165,,,,,,,,
37,2025-02-17 00:37:00+00:00,152.217,152.217,152.216,152.217,3.0,75.0,0.0,152.2229,152.21675,,,,,2025-02-17 00:38:00+00:00,2025-02-17 00:33:00+00:00,152.215,0.0
38,2025-02-17 00:38:00+00:00,152.217,152.246,152.217,152.238,13.0,75.0,0.0,152.2233,152.22225000000003,,,,,2025-02-17 00:38:00+00:00,2025-02-17 00:33:00+00:00,152.215,0.0
39,2025-02-17 00:39:00+00:00,152.238,152.239,152.228,152.228,5.0,75.0,0.0,152.22320000000002,152.22500000000002,,,,,2025-02-17 00:38:00+00:00,2025-02-17 00:33:00+00:00,152.215,0.0
40,2025-02-17 00:40:00+00:00,152.228,152.229,152.228,152.229,2.0,75.0,0.0,152.22345,152.228,,,,,,,,
41,2025-02-17 00:41:00+00:00,152.229,152.229,152.229,152.229,1.0,75.0,0.0,152.22375,152.23100000000002,,,,,,,,
42,2025-02-17 00:42:00+00:00,152.229,152.229,152.229,152.229,1.0,75.0,0.0,152.2241,152.22875000000002,,,,,,,,
43,2025-02-17 00:43:00+00:00,152.229,152.229,152.229,152.229,1.0,75.0,0.0,152.22449999999998,152.229,,,,,,,,
44,2025-02-17 00:44:00+00:00,152.229,152.229,152.228,152.228,2.0,75.0,0.0,152.22455,152.22875,,,,,,,,
45,2025-02-17 00:45:00+00:00,152.228,152.229,152.228,152.229,2.0,75.0,0.0,152.2241,152.22875000000002,,,,,,,,
46,2025-02-17 00:46:00+00:00,152.229,152.229,152.223,152.223,3.0,75.0,0.0,152.22400000000002,152.22725000000003,,,,,2025-02-17 00:47:00+00:00,2025-02-17 00:38:00+00:00,152.246,1.0
47,2025-02-17 00:47:00+00:00,152.223,152.223,152.222,152.222,2.0,75.0,0.0,152.22390000000001,152.2255,,,,,2025-02-17 00:47:00+00:00,2025-02-17 00:38:00+00:00,152.246,1.0
48,2025-02-17 00:48:00+00:00,152.222,152.222,152.222,152.222,1.0,75.0,0.0,152.2238,152.224,,,,,2025-02-17 00:47:00+00:00,2025-02-17 00:38:00+00:00,152.246,1.0
49,2025-02-17 00:49:00+00:00,152.222,152.222,152.222,152.222,1.0,75.0,0.0,152.2237,152.22225,,,,,2025-02-17 00:50:00+00:00,2025-02-17 00:47:00+00:00,152.222,0.0
50,2025-02-17 00:50:00+00:00,152.222,152.243,152.222,152.242,20.0,75.0,0.0,152.22465,152.227,,,,,2025-02-17 00:50:00+00:00,2025-02-17 00:47:00+00:00,152.222,0.0
51,2025-02-17 00:51:00+00:00,152.242,152.243,152.241,152.243,7.0,75.0,0.0,152.22565000000003,152.23225000000002,,,,,2025-02-17 00:50:00+00:00,2025-02-17 00:47:00+00:00,152.222,0.0
52,2025-02-17 00:52:00+00:00,152.243,152.245,152.243,152.245,3.0,75.0,0.0,152.22705000000002,152.238,,,,,,,,
53,2025-02-17 00:53:00+00:00,152.245,152.246,152.245,152.246,2.0,75.0,0.0,152.22855,152.244,,,,,,,,
54,2025-02-17 00:54:00+00:00,152.246,152.246,152.245,152.246,3.0,75.0,0.0,152.23005,152.245,,,,,,,,
55,2025-02-17 00:55:00+00:00,152.246,152.246,152.246,152.246,1.0,75.0,0.0,152.2315,152.24575,2025-02-17 00:56:00+00:00,2025-02-17 00:41:00+00:00,152.229,0.0,,,,
56,2025-02-17 00:56:00+00:00,152.246,152.256,152.246,152.247,8.0,75.0,0.0,152.233,152.24625000000003,2025-02-17 00:56:00+00:00,2025-02-17 00:41:00+00:00,152.229,0.0,,,,
57,2025-02-17 00:57:00+00:00,152.247,152.247,152.246,152.247,3.0,75.0,0.0,152.2345,152.24650000000003,2025-02-17 00:56:00+00:00,2025-02-17 00:41:00+00:00,152.229,0.0,,,,
58,2025-02-17 00:58:00+00:00,152.247,152.247,152.246,152.246,2.0,75.0,0.0,152.2349,152.24650000000003,,,,,,,,
59,2025-02-17 00:59:00+00:00,152.246,152.246,152.246,152.246,1.0,75.0,0.0,152.2358,152.2465,,,,,,,,
60,2025-02-17 01:00:00+00:00,152.246,152.318,152.246,152.311,68.0,3.0,0.0,152.23990000000003,152.26250000000002,,,,,,,,
61,2025-02-17 01:01:00+00:00,152.311,152.328,152.298,152.303,54.0,2.0,0.0,152.24360000000004,152.2765,,,,,,,,
62,2025-02-17 01:02:00+00:00,152.303,152.303,152.288,152.294,21.0,2.0,0.0,152.24685000000002,152.2885,,,,,,,,
