time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 00:00:00,152.439,152.439,152.438,152.438,2,200,0,,,
2025-02-17 00:01:00,152.438,152.438,152.169,152.283,4,200,0,,False,
2025-02-17 00:02:00,152.283,152.283,152.276,152.276,3,200,0,,False,
2025-02-17 00:03:00,152.276,152.276,152.204,152.263,3,200,0,,False,
2025-02-17 00:04:00,152.263,152.263,152.261,152.263,3,200,0,,False,
2025-02-17 00:05:00,152.263,152.263,152.197,152.197,4,75,0,,False,
2025-02-17 00:06:00,152.197,152.2,152.197,152.2,2,75,0,,False,
2025-02-17 00:07:00,152.2,152.2,152.2,152.2,1,75,0,,False,
2025-02-17 00:08:00,152.2,152.209,152.2,152.204,16,75,0,,False,
2025-02-17 00:09:00,152.204,152.204,152.203,152.204,3,78,0,,False,
2025-02-17 00:10:00,152.204,152.229,152.196,152.196,15,75,0,,False,
2025-02-17 00:11:00,152.196,152.26,152.196,152.246,19,75,0,,False,
2025-02-17 00:12:00,152.246,152.246,152.21,152.216,14,75,0,,False,
2025-02-17 00:13:00,152.216,152.218,152.216,152.218,5,75,0,,False,
2025-02-17 00:14:00,152.218,152.218,152.218,152.218,1,75,0,,False,
2025-02-17 00:15:00,152.218,152.218,152.217,152.217,4,75,0,,False,
2025-02-17 00:16:00,152.217,152.217,152.217,152.217,1,75,0,,False,
2025-02-17 00:17:00,152.217,152.217,152.214,152.214,4,75,0,,False,
2025-02-17 00:18:00,152.214,152.231,152.214,152.23,7,75,0,,False,
2025-02-17 00:19:00,152.23,152.231,152.213,152.23,15,75,0,152.2365,False,
2025-02-17 00:20:00,152.23,152.23,152.212,152.224,5,75,0,152.2258,False,
2025-02-17 00:21:00,152.224,152.224,152.223,152.223,2,75,0,152.2228,False,
2025-02-17 00:22:00,152.223,152.223,152.222,152.222,2,75,0,152.2201,False,
2025-02-17 00:23:00,152.222,152.222,152.221,152.221,2,75,0,152.21800000000002,False,
2025-02-17 00:24:00,152.221,152.227,152.221,152.227,2,75,0,152.21620000000001,False,
2025-02-17 00:25:00,152.227,152.238,152.221,152.238,8,75,0,152.21825,True,
2025-02-17 00:26:00,152.238,152.239,152.225,152.225,5,75,0,152.21949999999998,True,
2025-02-17 00:27:00,152.225,152.225,152.224,152.224,2,75,0,152.22070000000002,True,
2025-02-17 00:28:00,152.224,152.225,152.224,152.224,3,75,0,152.2217,True,
2025-02-17 00:29:00,152.224,152.224,152.224,152.224,1,75,0,152.2227,True,
2025-02-17 00:30:00,152.224,152.224,152.223,152.223,2,75,0,152.22404999999998,True,
2025-02-17 00:31:00,152.223,152.225,152.223,152.223,4,75,0,152.2229,False,
2025-02-17 00:32:00,152.223,152.223,152.217,152.217,2,75,0,152.22295,True,
2025-02-17 00:33:00,152.217,152.217,152.215,152.216,4,75,0,152.22285,False,
2025-02-17 00:34:00,152.216,152.216,152.216,152.216,1,75,0,152.22275000000002,False,
2025-02-17 00:35:00,152.216,152.217,152.216,152.217,2,75,0,152.22275,False,
2025-02-17 00:36:00,152.217,152.217,152.217,152.217,1,75,0,152.22275,False,
2025-02-17 00:37:00,152.217,152.217,152.216,152.217,3,75,0,152.2229,True,
2025-02-17 00:38:00,152.217,152.246,152.217,152.238,13,75,0,152.2233,True,
2025-02-17 00:39:00,152.238,152.239,152.228,152.228,5,75,0,152.2232,False,
2025-02-17 00:40:00,152.228,152.229,152.228,152.229,2,75,0,152.22345,True,
2025-02-17 00:41:00,152.229,152.229,152.229,152.229,1,75,0,152.22375,True,
2025-02-17 00:42:00,152.229,152.229,152.229,152.229,1,75,0,152.22410000000002,True,
2025-02-17 00:43:00,152.229,152.229,152.229,152.229,1,75,0,152.2245,True,
2025-02-17 00:44:00,152.229,152.229,152.228,152.228,2,75,0,152.22455,True,
2025-02-17 00:45:00,152.228,152.229,152.228,152.229,2,75,0,152.2241,False,
2025-02-17 00:46:00,152.229,152.229,152.223,152.223,3,75,0,152.224,False,
2025-02-17 00:47:00,152.223,152.223,152.222,152.222,2,75,0,152.22390000000001,False,low
2025-02-17 00:48:00,152.222,152.222,152.222,152.222,1,75,0,152.22380000000004,False,
2025-02-17 00:49:00,152.222,152.222,152.222,152.222,1,75,0,152.2237,False,
2025-02-17 00:50:00,152.222,152.243,152.222,152.242,20,75,0,152.22465000000003,True,
2025-02-17 00:51:00,152.242,152.243,152.241,152.243,7,75,0,152.22565000000003,True,
2025-02-17 00:52:00,152.243,152.245,152.243,152.245,3,75,0,152.22705000000002,True,
2025-02-17 00:53:00,152.245,152.246,152.245,152.246,2,75,0,152.22855,True,
2025-02-17 00:54:00,152.246,152.246,152.245,152.246,3,75,0,152.23005,True,
2025-02-17 00:55:00,152.246,152.246,152.246,152.246,1,75,0,152.2315,True,
2025-02-17 00:56:00,152.246,152.256,152.246,152.247,8,75,0,152.233,True,
2025-02-17 00:57:00,152.247,152.247,152.246,152.247,3,75,0,152.2345,True,
2025-02-17 00:58:00,152.247,152.247,152.246,152.246,2,75,0,152.2349,True,
2025-02-17 00:59:00,152.246,152.246,152.246,152.246,1,75,0,152.2358,True,
2025-02-17 01:00:00,152.246,152.318,152.246,152.311,68,3,0,152.2399,True,
2025-02-17 01:01:00,152.311,152.328,152.298,152.303,54,2,0,152.24360000000001,True,
2025-02-17 01:02:00,152.303,152.303,152.288,152.294,21,2,0,152.24685,True,
2025-02-17 01:03:00,152.294,152.298,152.278,152.29,43,2,0,152.2499,True,
